x,y,name
2.4709978,-0.74095815,프론트엔드 엔지니어 Frontend Engineer(주니어) - 부산
-0.24144407,1.1529677,.NET 웹 개발자
-0.03453808,5.634795,(test) 포지션 테스트 1
-1.9255255,3.517916,리드 프론트엔드 개발자
-2.1630714,12.032744,인플루언서 매니지먼트
-2.5860484,4.795214,[카카오] 커머스CIC 서버 개발자
0.4088376,5.4307284,CRM 마케터
-2.311579,8.608665,[패스트캠퍼스] 콘텐츠 상품 기획자
-0.8856529,8.1010475,[NHN PAYCO] 페이코 여신사업PM
4.5155215,10.5927515,재무회계 매출 담당자
-2.618974,13.814186,광고 운영팀 리드 Campaign Master Team Lead(7년 이상)
-3.637766,13.973474,광고 운영 매니저 Campaign Master(2년 이상)
1.4684457,7.9885836,서빙로봇 Dilly 센터운영지원 담당자
0.59512794,9.388194,배달의민족 광고 운영 담당자
2.7945297,-2.0182052,Front-end 개발자
-4.456826,3.811549,QA Lead
-3.9410334,3.47291,QA Engineer
-0.96913797,9.082078,전략커뮤니케이션
0.044069022,8.66231,기업문화전략
3.888428,6.790144,리멤버 직속 헤드헌터
-1.9432797,13.42651,마케팅그룹 조직관리자
-0.8755919,3.4494345,운영플랫폼 프론트엔드 (Frontend) 엔지니어
-1.2644025,2.5249047,운영플랫폼 백엔드 (Backend) 엔지니어
-2.3594546,7.1302056,[포코팡 원더팝] 게임 기획자
-3.4267578,0.96433127,DevOps (서버/배포 담당자)
-4.1666727,3.9883637,QA 엔지니어
-2.3398278,14.110559,컨텐츠 마케터
-6.482499,9.05699,웹디자인 및 온라인 광고디자인
-2.0749176,8.476147,서비스운영
0.78372985,11.79521,식자재 MD
-2.9766226,13.570802,B2B 마케터
-1.0284107,6.4805956,서비스 PM∙PO
0.96257323,2.407862,블록체인 개발자
-2.4428341,13.266004,글로벌 게임 마케팅
1.7357895,-2.0323055,Front-end 개발
-0.19971183,0.4457601,서버 개발 (글로벌 Golf Simulator)
0.6601963,-2.8606334,웹 서비스 개발
-2.9009616,9.678778,[인텔리전스랩스] 마케팅 컨텐츠 서비스 기획자
3.066984,0.6447608,Android 개발자
-2.2384257,8.180714,CS 매니저
1.0121301,-0.456677,D2C서비스 프론트엔드 개발자
0.8233995,12.192103,오프라인 MD
4.691145,10.548201,[폴라리스오피스] 재무회계담당자 영입
-0.48131025,9.2189045,숙박시스템 - Sales Manager
-4.5850167,3.4778044,[튜터링] 튜터링 QA 담당자 (5년미만)
-1.0734137,10.7809925,홈(리빙) MD
-1.3536731,9.611987,스터디클럽 커리큘럼 매니저
-3.2465541,5.3475347,[CX센터] Service Planner
2.390852,8.6118,피플팀 주니어
-1.5328511,12.56048,CRM 마케터
-5.006745,2.0695865,[윙잇] 정보보안 담당자(2년 이상)
-1.0397831,6.411673,대안신용평가 Product Manager
-6.1683016,5.698298,UX/Visual Designer
-3.6445315,10.28993,콘텐츠 서비스 기획
-2.6187263,5.5980897,Product Manager (서비스 기획)
2.358575,-2.0564244,평생교육사업부 학점은행팀 웹 퍼블리셔
2.0265703,-1.9420869,평생교육사업부 학점은행팀 웹 퍼블리셔 (5년 이상)
-2.112281,6.446824,평생교육사업부 학점은행팀 웹 서비스 기획자 채용
2.7966719,0.8400046,평생교육사업부 학점은행팀 앱 개발자
-1.2788196,-1.078145,평생교육사업부 학점은행팀 웹 개발자
-3.162347,13.4802685,휘슬사업부 마케팅 팀장
-1.1543399,2.488805,Back-end Engineer
0.6519543,10.493149,주간 입출고 CS 담당자
-0.21100345,11.787548,온라인 MD
-3.0414028,7.691197,CSM 고객성공매니저
1.5655907,2.152657,[SW5] 결제 솔루션 개발자
